,index,teacher,heart,reviewer,date,kinds,content_title,review_title,content,rated
10,10,정종영,2565,박*수,23.11.11,1,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 11강 후기!,"멋진 종영쌤! 제가 뽑은 어려운 문제는 20번 문제를 뽑았습니다! 계산과정이 어려웠지만 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 18번 문제를 뽑았습니다!
저한테 너무 간단한 문제여서 뽑았습니다! 완강이 9강 코앞이니까! 좌절하지 말고! 포기하지 말고! 끝까지 파이팅!",5점
11,11,정종영,2565,박*수,23.11.11,2,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 10강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 14번 문제를 뽑았습니다! 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 15번 문제를 뽑았습니다! 와! 문제 풀이 과정이 길었지만 풀 만 했습니다! 완강이 10강 코앞이니까! 파이팅!♡,5점
12,12,정종영,2565,박*수,23.11.11,4,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 9강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 3회의 3번을 뽑았습니다! 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 3회의 6번을 뽑았습니다! 와! 이거는 저한테 너무 간단한 문제였습니다! 10강에 가서 더 열심히 하겠습니다!!!,5점
13,13,정종영,2565,박*수,23.11.05,10,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 8강 후기!,멋진 종영쌤!!! 제가 뽑은 오답의 문제는 24번 문제를 뽑았습니다! 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 26번 문제를 뽑았습니다! 와! 이거는 저한테 너무 간단한 문제였지만 스스로 계산해서 풀고 채점해보니까! 맞혔더라고요! 9강에 가서 더 집중해서! 잘 풀겠습니다!♡♡,5점
14,14,정종영,2565,박*수,23.11.05,6,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 7강 후기!,멋진 종영쌤! 제가 뽑은 단답형 어려운 문제는 22번 문제를 뽑았습니다! 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 단답형의 문제는 17번 문제를 뽑았습니다! 와! 이거는 제가 스스로 풀어보니까! 간단했습니다! 8강에 가서 더 집중해서! 잘 풀겠습니다!♡♡♡♡♡♡♡♡♡♡♡♡♡,5점
15,15,정종영,2565,김*정,23.11.07,224,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),선생님 안녕하세요 !,"선생님 안녕하세요 전 대략 한 달 전쯤부터..? ㅎㅎ 선생님과 수특 수완 강의를 함께 하고 있는 학생입니다
사실 제가 작년까지 미술을 하다가 인문계로도 비슷한 과를 갈 수 있다는 정보를 얻고 한 번 더 도전하고 있어요

이번 한 해는 사설 인강에만 집중했었는데, 똑같이 반영되는 국어랑 영어, 탐구는 이번에 철저히 공부해서 1등급이 나오는데 수학만 암담하네요..
수학을 정말 열심히 했는데 아무래도 공부 방법이 잘못되었다는 생각이 막 들어요 (수능전에 이러면 안 되지만 ㅎㅎ..) 

수학 한 문제 두 문제 틀리는 걸로 제가 가고싶은 대학에서 아예 하위권 대학으로 떨어지기도 해서 너무 불안한 맘에 수강 하게 되었습니다
비록 시간은 얼마 안 남았지만 수특 수1수2는 몇 문제 제외하면 거의 다 마무리했고 수능 완성 실전모고도 4회차까지 풀고 있어요!

수학을 어떻게 공부해야 할지 몰라 여름에 엄청 방황 했었는데 그때 ebs 한번이라도 들었으면 어땠을까 싶어요. 지금 들으니까 저에게 너무 잘 맞고 제가 부족했던 개념을 채워주시는 것 같아서요!
이미 지나간 시간 가지고 미련 두고 싶지는 않지만 그래도 제 수학 성적이 너무 아쉬워서.. 슬픈건 어쩔수가 없네요 ㅠ

수능 때 턱걸이 3등급이 목표인데, 비록 엄청 짧은 시간이 남았지만 포기하지 않고 선생님과 함께 달려보겠습니당!!!
그리고 선생님 덕분에 ebs 강의도 생각보다 매우매우 괜찮고 좋다는 걸 알게 되었어요

수완 강의가 끝나면 모의고사 강의 찍으신 거 들으면서 지금보다 더 열심히 공부하겠습니다!
의상학과에 들어가는 것이 목표인데 대학 합격하고 수강평 다시 남길 수 있다면 꼭 연락 드리고 싶어요

그리고 이건 너무 별얘길 다하나..? 싶지만 ㅎㅎ.. 제가 초,중,고 다니면서 가장 좋아했던 초5 선생님께서도 수학 선생님이셨고 ebs에서 강의 하셨었는데
열심히 가르쳐주시는 선생님의 모습과 겹쳐보이고, 다시 한번만 더 뵐 수 있었으면 하는 생각이 드네요..! 공교육에 힘쓰시는 ebs 강사님들, 한 학급의 담임 선생님으로서 학생들을 이끄는 모습들
다 너무너무 멋있으시다는 생각이 들었습니다.

선생님 좋은 강의 찍어주셔서 감사드리고 전 비록 선생님과 이번 일 년 동안 처음부터 끝까지 함께한 애제자도 아니지만 이런 학생도 있었구나~ 하면서 기억해주시면 감사하겠습니다!
좋은 하루 되세요 ㅎㅎ",베스트
16,16,정종영,2565,홍*림,23.10.20,42,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),강의 정말 좋네요,"실전 풀다가 모르는 문제 생겨서 해설 강의를 찾던 중에 선생님 강의를 듣게 됐는데 정말 너무 좋아요ㅜㅜ 
특히 단계별로 분류돼 있는 체계적인 풀이랑 깔끔한 글씨체가 마음에 쏙 들어요🥹 웬만하면 후기 잘 안 쓰는데 꼭 써야할 것 같았어요. 
지금 유형편 한 번 더 돌리려고 하는데 너무 좋아서 유형편까지 해주셨으면..ㅜㅇㅜ 좋았을 것 같다는 생각이 드네요
이제서야 선생님 강의를 알게 돼서 아쉽지만 남은 기간 동안 열심히 수학 해보겠습니다!!",베스트
17,17,정종영,2565,정*현,23.09.17,1204,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수학 등급을 올리고 싶으면 정종영 선생님의 강좌를 봐라!,"안녕하세요 선생님 저는 고3 수험생입니다
저는 수학을 매우 좋아하지만 스스로가 실력이 부족하다는 것을 너무 잘 아는 학생입니다..
그래서 항상 내신은 2등급 모고는 4등급 나옵니다... 이럴 때마다 수학을 포기하고 싶다는 생각을 종종하지만 수학이 재미있어서 포기를 못 하고 있습니다😂
저는 여러 선생님들의 수학 강의를 들으면서 저에게 맞는 선생님을 찾고 있었습니다. 다른 선생님의 강의를 들으면 저의 실력이 늘고 있다는 생각이 안 들었습니다.
그런데 우연히 선생님의 강의를 듣고 요즘 저의 실력이 엄청 상승하고 있다는 것을 느끼며 살아가고 있습니다.
고1 때 선생님의 강의를 못 들은게 후회스럽지만... 이제라도 선생님의 강의를 들어서 너무 감격스럽고 이제는 선생님의 열렬 팬이 되었습니다ㅠㅠ
선생님의 강의는 진짜 부족한 점이 없는 강의라고 생각합니다!!
수학 1등급으로 갈 수 있는 유용한 팁이나 다시 한번 개념을 쪽집게처럼 집어주셔서 저도 종종 몰랐던 부분을 새롭게 배워간답니다.
그리고 너무 친절하시고 졸음이 올 때 딱! 집중시켜주셔서 흠 잡을데가 없는 강의입니다!!
이 강의뿐만 아니라 저의 강좌는 이제.. 선생님의 강좌로 다 꽊 찼습니다 ㅋㅋㅋ
후기를 써 본 적은 처음이지만 감사하다는 말씀을 드리고 싶었습니다! 항상 감사드리고 존경합니다!!",베스트
18,18,정종영,2565,김*영,23.07.19,259,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),완전 최고입니다..!!!!,"고3 학생입니다! 수강 후기 진짜 처음 써봐요..!
미적 선택자인데 수능완성 실전 모의고사 2회 21번 문항 해설 강의를 찾아 떠돌다 선생님을 만나게 되었습니다.
왜 이제서야 선생님을 알게 된 걸까요 ㅠㅜ
진짜 풀이가 완전 컴팩트하지만 퍼펙트 합니다..!!
직관적&논리적으로 한번에 이해할 수 있었고요,, 
문제 접근법이나 자연스럽게 이어지는 풀이 단계에 너무 감동했습니다,,!!!!
앞으로 공통 과목 강의는 무조건 선생님 강의로 들으려고요!!! 
완전 강추입니다!!!♡♡♡♡♡",베스트
19,19,정종영,2565,박*수,23.11.05,4,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 6강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 15번 문제를 뽑았습니다! 사진으로 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 12번 문제를 뽑았습니다! 함수 f(x)에 관련된 문제데요! 제가 스스로 풀어서 채점해보니까! 맞혔더라고요! 7강에 가서 더 집중해서! 열심히 하겠습니다!,5점
20,20,정종영,2565,박*수,23.11.05,4,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수완수학 실전편 5강 후기!,멋진 종영쌤! 제가 뽑은 오답의 문제는 4번을 뽑았습니다! 사진을 참고하시면 돼요! 제가 뽑은 깨달았던 문제는 2번을 뽑았습니다! 함수에 관련된 문제데요! 스스로 계산해서 풀어보니까! 맞혔더라고요! 6강에 가서 더 열심히 할게요!,5점
21,21,정종영,2565,김*엽,23.10.30,32,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),정종영선생님,저는 요번에 수능 준비하는데 실전모의고사 문제 답지 보다가 너무 이해가 안되서 선생님의 강의를 찾았는데 선생님의 완벽한 강의 설명에 이해가 좀 됐던것 같습니다 집중도 잘되고 강의시간이 후딱 지나가버린것 같아 시간이 너무 짧게만 느껴졌던것 같습니다 앞으로도 좋은강의 많이 많이 부탁드립니다 학생들을 위해 강의해주셔서 항상 감사합니다,스페셜
22,22,정종영,2565,김*재,23.10.29,12,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),감사합니다,친절한 강의 감사합니다,스페셜
23,23,정종영,2565,지*현,23.10.15,37,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),대박이에욥!!,"저한테 맞는 수완 강의 찾기 어려웠는데 한 번에 이해되게 가르쳐 주시고 효율적인 풀이 방법을 알려주시는 선생님은 처음이십니다!!
단언컨대 ebs 수학 1타이십니다 진짜ㅠㅠ 완벽한 강의 올려주셔서 감사합니다!",5점
24,24,정종영,2565,김*진,23.10.07,47,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),수능완성을 완강하며..!!,"아… 드디어 마음 한 켠에서 묵직하게 부담을 주던 연계교재 학습이 끝났어요
이젠 정말 곧이네요
수특 때부터 종영쌤 들었는데 쉽게쉽게 설명해주시고 정말 감사했습니다

선생님, 그냥 저 할 수 있다고 한 마디만 부탁드려도 될까요?
저는 고3 때 내신이든 수능이든 언제나 4등급이었어요
22학년도 수능에서 9번부터 턱턱 막히고 결국 수시로 대학에 갔다가
안되겠다 싶어서 수학 컴플렉스만큼은 씻어버리자 하는 일념으로 다시 수능판에 뛰어든 상황이거든요
정말 후회없이 수학을 공부해왔고, 6평에선 드디어 4등급을 탈출해서 3등급을 받았어요
근데 9평에서 다시 처참한 점수로 4등급을 받았네요….
실수 정말 많았지만 역시 그마저 실력이더라고요
좌절도 많이 겪었고 앞으로도 순탄하진 않겠지만
그럼에도 제 목표는 1등급이에요

수능완성 모의고사를 풀면서 깰 수 없을 것 같던 80점의 벽도 깨봤어요
5회차는 85점이에요

선생님! 저 1등급 받아낼 수 있다고 그냥 한 마디만 해주세요
제 약점들 철저하게 메꿔서 40일 후에 누구보다 웃고있을 수 있겠죠?

혼자서 계속해서 다짐하고 그럼에도 넘어지고 그래도 일어나고…
너무 힘든 과정 속에 여전히 있지만 그 순간순간 선생님과 연계교재 공부하면서 즐거웠어요!
저 진짜 해내고 오겠습니다
감사합니다!!!",5점
25,25,정종영,2565,s********e,23.09.18,122,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),모평 복기 분석,"선생님 :)



이번 6평/9평에서 주목할 문제 아이디어등이 무엇이 있을까요?



미적분 선택자입니다.",5점
26,26,정종영,2565,이*기,23.09.13,99,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),선생님 질문있어요(2),"<남은기간 공부방법질문>
6-9평가원에서 3등급을 받았고
수능때는 최저가있어서 2등급을 받고싶어요ㅜㅜ
  저는 남은 계획을 새로운 책을 풀기보다는
수능특강-수능완성을 다시 복습하고
실전모의고사를 매주마다 4~5회분 풀려고해요
  선생님
수학은 5~6시간씩하고 있는데 이정도면 제 목표등급에
비해 공부시간이랑 푸는교재 자체가 많이 부족한양인가요?
그러면 다른과목시간을 더 줄이고 수학을 더 늘리려구요ㅜㅜ
  선생님 제 계획이 수정이 필요한지가 너무 궁금하구요
남은기간 공부방법이랑 조언부탁드려요ㅠㅠ
 ",5점
27,27,정종영,2565,이*기,23.09.13,52,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),선생님 질문있어요(1),"선생님 수업수강중인 제자입니당
남은 기간 수학 학습법 질문을 드리고싶어요
  글이 길어서 2개로 나눠서 올릴게요ㅜㅜ
  성적은 6월평가원에서 3등급을 받았고
이후에 9월 평가원까지 수학준비를 많이 했는데 3등급이 나왔어요
다시 풀어보니 충분히 해결할 수 있는 문항들이 많아서
시험에 아쉬움이 너무 많았어요
  수시 최저를 수학으로 준비하고있어서
수능때는 꼭 2등급을 받고싶어요ㅜㅜ
수능때 4~5문항정도빼고 풀 수 있을정도로 준비하고싶어요
  남은8주동안은 실전모의고사와
수능특강+수능완성 복습으로 공부하려고해요
  <실전모의고사 질문>
제가 ebs파이널이나 시중실전모의고사를 풀면
객관식3문항 주관식3문항 선택3문항 빼고
21문항을 푸는데도 60분정도 걸리고
남은9문항중에 풀 수 있는 3개정도 풀면
100분이 딱 끝나요ㅜㅜ
  이렇게 30문항을 풀고나서
고난도 문항 오답을 하니 하루가 부족해서 이틀동안
그것만 잡고 있어요
  기존의 15번 22번 30번 난이도 문항들은
해설을 봐도 와닿을 정도로 이해가 되지도 않고
따라풀어 보는 정도에요
고난도까지 오답을하니까 시간을 너무 많이
쓰게 되어서 남은 기간 효율적인 공부가 맞는지
생각이 들어요
  실전모의고사를 고난도3문항정도 과목별 한문항씩 제외하고 27문항으로
하루 1회씩 시간맞춰 푸는연습을 매일매일 할까요
  힘들어도 고난도까지 전부 포함해서 30문항 이틀에 한회씩
공부 하는게 맞을까요

실전모의고사 어떻게 공부해야할까요 선생님ㅜㅜ",5점
28,28,정종영,2565,이*경,23.09.04,36,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),감사합니다...,"좋은 강의 찍어주셔서...
감사합니다...
도움이 많이 되었어요..",스페셜
29,29,정종영,2565,이*호,23.08.10,166,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),"6월 모의평가 19번, 11번(연계 양상)","선생님 아까 긴 고민글 올리다가 또 하나 생각 난 게 있어 새 글로 작성해 봅니다

혹시 올해 6평에 출제됐던 19번 문제 어떻게 생각하시는지 여쭤 봐도 될까요? 전 시험장에서 그걸 딱 봤을 때 '... 이거 3점 맞아? 좀 만만한 4점으로 나와야 하는 거 아냐?' 이 생각밖에 안 들었어요 그래도 수학 1 수특41쪽 예제 문제에서 조건 (다)를 변형한 게 19번 문제에서의 조건 (가) 같아서 주어진 사인함수의 최솟값인 8-2a>=0, 즉 a<=4임을 이용해 a= 1, 2, 3, 4중 하나겠다 (a, b는 모두 자연수) 이렇게 범위를 좁혀 봤어요 또 조건 (나)를 보고는 조건 (가)도 만족시키되 사인함수랑 x축이 서로 다른 4점에서 만나야 하니 최솟값=0 이렇게 생각해서 a=4라고 확정지었어요 그래서 그래프를 x축에 접하도록 그려 봤죠 그런데 여기서 또 말썽인 게 b를 어떻게 찾느냐였어요 처음에는 지나는 점을 대입해 봤지만 값이 나오진 않아 고민하다가 사인함수의 주기가 2ㅠ(파이)/b인데 그래프가 x축과 네 번 만나게 잡으려연 8ㅠ/b까지 그려져야 하더라고요 그런데 그게 딱 2ㅠ여야 조건(나)를 만족시킨다고 생각해서 (정의역이 0 이상 2ㅠ 미만이니까요) 8파이/b=2ㅠ라는 식을 풀어서 b=4임을 구했어요 그래서 a+b=8이라 써서 다행히도(!!) 맞췄답니다ㅠ 수특의 그 문제(수학 1 41쪽 예제)는 못 풀었지만 복습 잘 하고 넘어간 덕이 아닐까 싶었어요 어쨌든 3점은 지켜냈습니다^^ 

(추가로 3점이지만 거의 5~ 10분은 고민했던 것 같아요 제가 아직 실력이 모자라다는 증거일까요?ㅠㅠ 잘 하는 애들은 단숨에 팍 풀고 넘어갔을지도 궁금하더라고요)


그리고 올해 6평 11번 문제는 나중에 시험이 끝나고 수특 교재를 뒤져 보니 수특 수학 2 16쪽, 즉 레벨 3의 3번 문제에서 연계된 게 아닐까 싶었는데 맞을끼요? 제가 10번에서 계산실수를 막 하느라 시간이 부족해져서 부랴부랴 풀었는데 (사실 시험장에선 절댓값 벗길 때 실수해서 답이 -2루트2로 나왔어요 그래도 그냥 2루트 2가 맞겠거니 하고 찍어서 맞았어요^^;;) 맞아서 정말 행복했던 기억이 나네요 어쨌든 9평, 더 나아가 수능에서는 더 기분 좋을 수 있도록 열심히 노력할게요^^ 

추신) 6평 19번의 제 풀이 과정 첨부해요 글로만 보시면 좀 어지러울 것 같은데 사진의 풀이에서 논리적 비약이나 오류는 없는지 봐 주시면 감사하겠습니다",5점
30,30,정종영,2565,이*호,23.08.10,151,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),한 번 더 조언 부탁드려도 될까요?,"이번 6평에서 4점 문항은 9, 10, 11번을 진짜 풀어서 맞고 14번은 찍어서 맞아 61점으로 4등급 나온 학생입니다 (6평에서 공통: 12~15, 20~22 선택(확통): 25, 28~30번 못 풀었고 14번 빼고는 다 틀렸어요) 수학 1, 2는 수특 2회독 마쳤고 수완은 아직 못 했고 기출 푸는 중인데요(수학 1은 끝냈고 수학 2 나가고 있어요) 목표는 다가올 9평에서 공통은 12번 문항, 선택은 27번까지 다 맞고 28번이라도 맞춰 보는 것입니다 거기에 추가로 가능하면 13, 20번도 맞으면 참 좋겠어요^^ 혹시 12, 13, 20번을 맞으려면 기출 풀 때 뭘 포인트로 잡고 연습해야 할지, 어떤 개념들을 잘 알고 적용해 봐야 할지, 실전에서 어떻게 접근하는 게 좋을지 여쭤봐도 될까요? 선택과목은 안 좋아한다고 하기 싫어했어서(제가 중학교 때부터 경우의 수, 확률 이런 걸 진짜 싫어했는데 문과라 이걸 골랐어요;;) 6평 이후 개념만 간신히 다 끝내 놨네요 제 잘못이죠;;ㅠ 확통도 수특 풀어야 할 텐데 지금 수학 2 기출 푼다고 정신이 없어 못 했습니다ㅠ 지금이라도 확통은 수특 시작하고 공통 역시 수완 풀어보는 게 맞겠죠? 

수특 학습 현황: 수학 1의 레벨 2에서는(레벨 3는 수학 1, 2 모두 지금까지 아예 안 건드렸어요) 중단원 2, 중단원, 5, 중단원, 6에서 각각 3개(2, 4, 6), 4개(9~12), 3개(5~7)씩 틀리고 수학 2의 경우 레벨 2에서는 중단원 2, 중단원 7에서 각각 2개, 1개씩(각각 4, 6번 그리고 7번) 틀렸어요 수학 2에는 좀 기본적이고 구조가 어느 정도 정해진 문제들이 많은 건지(제 개인적인 생각입니다만) 확실히 덜 틀리더라고요 나머지 단원(수학 1, 2 모두) 은 레벨 2도 모든 문항을 기계적으로 팍팍 능숙하게 풀 수 있는 수준은 아니지만 다 맞거나 한두 개만 틀리는 정도예요 

기출 학습 현황: 진짜 어려운 4점 모여 있는 쪽은(자xxx리 기준: 1등급 도전 코너) 하나도 안 풀었지만 나머지 문제들은 다 풀어 봤습니다 시간 진짜 오래 걸려서 간신히 맞은 문제들은 파란 동그라미(1번) 쳤고, 그것보단 덜하지만 은근히 고민을 했던 문제들은 빨간 동그라미를 치되 그 옆에 샤프나 볼펜으로 따로 크게 점 점 찍기(2번)를 했어요 다시 풀 땐 아예 틀린 문제+ 1번에 해당되는 문제+ 2번에 해당되는 문제들을 중점적으로 복습하려고 하는데 괜찮을까요? 또 9평은 3등급 진입(내지는 높은 4)하고 싶고, 수능에서는 2등급 받으면 진짜 좋겠지만 일단 2등급 같은 3등급(높은 3)이라도 나오는 게 목표인데 그러러면 1등급 도전처럼 난이도가 많이 높은 4점 기출, 수특 레벨 3 문제들 역시 나중에라도 풀어 봐야 할지, 아님 수특은 레벨 2까지만 하고 기출도 제가 지금까지 풀어 놓은 걸 더 여러 번 복습하는 게 더 효과적일지 궁금합니다

추신) 핵심적인 내용은 밑줄 표시 했습니다 그리고 지난번에 길게 남긴 질문글에도 정성스럽게 답해주셨는데 바쁘다는 핑계(퍽!)로 답글 못 달아드려서 너무 죄송하고 고맙습니다ㅠㅠㅠ 100일도 안 남은 만큼 진짜 더 열심히 할게요 이번에는 답글도 꼭 달아 드리겠습니다!",5점
31,31,정종영,2565,지*유,23.08.09,636,[2024 수능완성] 정종영의 수학+확률과 통계(실전편),완강) 선생님 덕분입니다. 감사해요,"EBS로는 수학 등급 못올린다고 판단해서 6모때까지 사설인강을 수강해서 (지금도 사설인강 보고 있긴 하지만…) 기본개념부터 심화개념 기출까지하고 N제도 나름 풀었는데  항상 수학 점수는 달라지지않았고 좌절감을 받았었어요.
고2때는 모고2등급이였는데 올해는 계속 4등급이더군요.. 그래서 이제 실전 연습을 해야겠다고 마음먹고 파이널실전모고에서 처음 선생님을 뵀고 여기까지 따라왔어요!
선생님이 하라고 하신 발상노트도 만들어서 풀이하면서 자주 틀리는 유형이나 설명해주신 실전개념들 그리고 다른 N제와 수능완성에서 틀린문제에서 적용하는 개념들을 차곡히 정리해 나갔습니다.  적고 나서 보니까 틀린 유형들이 반복된다는것을 깨달았어요,  그래서 선생님 덕분에 수학에 문제를 바라보는 태도교정을 배울 수 있었고 또한 4회차 모고 같은 경우에는 시간안에 13번 15번 22번 빼고 모두 맞춰 88점이라는 쾌거를 얻었습니다!  선생님이랑 실모로 연습하면서 많은 걸 얻어갔고 저도 엄청 성장한거 같아서 기뻐요. 실모 풀때마다 저도 이 번호대를 내가 풀어? 느낄정도로.. 수능완성에서 발문 얻어갈게 많은거 같아서 좀 더 정리하고 봉투모의고사로 다시 찾아갈게요! 말이 길었네요. 쌤 감사합니다 ! ",스페셜
